科目名,曜日・時限,講義室情報,適正人数,担当教員,URL
日本文化体験D（近代日本文学入門）,木3,C15,12-15,SEN RAJ LAKHI,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-16478.011&je_cd=1&lct_idx=A000000000155896
比較教育学4E（Comparative Higher Education 4E）（英語による開講）,火3,E1,36 Students.,吉永　契一郎,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-16483&je_cd=1&lct_idx=A000000000136914
演習／グローバル・アントレプレナー論,水6,C15,定めに応じ'参加意欲のある方は大歓迎です,松島　大輔,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-23100.352&je_cd=1&lct_idx=A000000000131358
東洋史要説B,火5,B10,50名,古畑　徹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-31324&je_cd=1&lct_idx=A000000000134040
東洋史要説B,火5,B10,50名,古畑　徹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-33831&je_cd=1&lct_idx=A000000000131533
現代社会学EⅠ,水3,E15,-----,眞鍋　知子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-35588&je_cd=1&lct_idx=A000000000130397
地域経営論Ⅱ,火4,E10,最大85人まで,川澄　厚志,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-35907&je_cd=1&lct_idx=A000000000130553
北陸の都市・農漁山村,水2,D10,150人まで,佐無田　光,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-35B19&je_cd=1&lct_idx=A000000000130702
SDGs実践,月4,E15,30人,河内　幾帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-35C27&je_cd=1&lct_idx=A000000000130735
地域社会学,水3,E15,-----,眞鍋　知子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-35E18&je_cd=1&lct_idx=A000000000130776
観光開発・計画論,火4,E10,最大85人まで,川澄　厚志,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-35E24&je_cd=1&lct_idx=A000000000130781
地域経営論Ⅱ,火4,E10,最大85人まで,川澄　厚志,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36310&je_cd=1&lct_idx=A000000000136916
東洋史要説B,火5,B10,50名,古畑　徹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36326&je_cd=1&lct_idx=A000000000134691
英米言語文化概説B,水5,E1,-----,澤田　茂保,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36334&je_cd=1&lct_idx=A000000000134693
研究演習A4,水3,C6,-----,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36616.110&je_cd=1&lct_idx=A000000000134705
研究演習A4,水3,C14,-----,渡辺　敦子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36616.111&je_cd=1&lct_idx=A000000000134706
研究演習A4,水5,C14,-----,山本　洋,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36616.208&je_cd=1&lct_idx=A000000000134696
研究演習A4,水3,D1,-----,渡辺　達雄,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36616.304&je_cd=1&lct_idx=A000000000134714
研究演習A4,水3,D14,-----,飯田　玲子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36616.305&je_cd=1&lct_idx=A000000000136948
研究演習B4,水4,C6,-----,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36620.110&je_cd=1&lct_idx=A000000000136940
研究演習B4,水3,C14,-----,渡辺　敦子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36620.111&je_cd=1&lct_idx=A000000000151441
研究演習B4,水5,C14,-----,山本　洋,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36620.208&je_cd=1&lct_idx=A000000000136942
研究演習B4,水4,D1,-----,渡辺　達雄,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-36620.304&je_cd=1&lct_idx=A000000000136939
英文法研究B2,木2,D7,-----,堀田　優子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-42222&je_cd=1&lct_idx=A000000000139989
英米言語文化概説B2,水5,E1,-----,澤田　茂保,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-42259&je_cd=1&lct_idx=A000000000143889
フランス語コミュニケーションⅠB2,水4,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-42465.002&je_cd=1&lct_idx=A000000000136789
フランス語コミュニケーションⅡB2,月5,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-42469&je_cd=1&lct_idx=A000000000134140
フランス語コミュニケーションⅢB2,水2,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-42473&je_cd=1&lct_idx=A000000000134141
フランス語コミュニケーションⅣB2,月2,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-42477.002&je_cd=1&lct_idx=A000000000134142
フランス語コミュニケーション初級4,水4,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-42966.002&je_cd=1&lct_idx=A000000000136793
フランス語コミュニケーション初級8,月5,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-42970&je_cd=1&lct_idx=A000000000134198
フランス語コミュニケーション中級4,水2,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-42974&je_cd=1&lct_idx=A000000000134199
フランス語コミュニケーション中級8,月2,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-42978.002&je_cd=1&lct_idx=A000000000134201
SDGs実践,月4,E15,30人,河内　幾帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-45132&je_cd=1&lct_idx=A000000000137133
地域経済学2,水2,D10,150人まで,佐無田　光,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-45139&je_cd=1&lct_idx=A000000000144956
経済学特別講義B（SDGｓ実践）,月4,E15,30人,河内　幾帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-45531&je_cd=1&lct_idx=A000000000131600
アジア研究演習B1,水3,D1,-----,渡辺　達雄,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52238.004&je_cd=1&lct_idx=A000000000134737
国際社会研究演習A4,水3,C6,-----,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52516.010&je_cd=1&lct_idx=A000000000134748
国際社会研究演習A4,水3,C14,-----,渡辺　敦子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52516.011&je_cd=1&lct_idx=A000000000134749
比較文化論2E(Comparative Culture 2E) （English Instruction),火3,E1,36 Students.,吉永　契一郎,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52517&je_cd=1&lct_idx=A000000000134751
多文化主義論2E,火4,B6,20,岸田　由美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52518&je_cd=1&lct_idx=A000000000134752
地球環境論2E,水1,E10,-----,塚脇　真二,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52521&je_cd=1&lct_idx=A000000000134753
国際社会研究演習B4,水4,C6,-----,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52523.010&je_cd=1&lct_idx=A000000000134762
国際社会研究演習B4,水3,C14,-----,渡辺　敦子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52523.011&je_cd=1&lct_idx=A000000000151440
日本語教授法A2,月3,D3,20人以下,笹原　幸子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52608.001&je_cd=1&lct_idx=A000000000134767
日本語教授法A2,月4,D3,20人以下,笹原　幸子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52608.002&je_cd=1&lct_idx=A000000000134768
日本語教育史2,火4,B5,10名以下,山本　洋,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52617&je_cd=1&lct_idx=A000000000134770
認知言語学2,木2,D7,-----,堀田　優子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52652&je_cd=1&lct_idx=A000000000134784
朝鮮語コミュニケーションⅤb,水5,A4,-----,CHOI JUNGAH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52730&je_cd=1&lct_idx=A000000000134792
朝鮮語コミュニケーションⅢb,火5,A4,-----,CHOI JUNGAH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52734&je_cd=1&lct_idx=A000000000134793
朝鮮語コミュニケーションⅣb,水4,A4,-----,宋　有宰,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52735&je_cd=1&lct_idx=A000000000134794
東アジア社会と教育B2,金2,D2,-----,渡辺　達雄,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52746&je_cd=1&lct_idx=A000000000134798
朝鮮語コミュニケーション初級6,火5,A4,-----,CHOI JUNGAH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52761&je_cd=1&lct_idx=A000000000134801
朝鮮語コミュニケーション初級8,水4,A4,-----,宋　有宰,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52763&je_cd=1&lct_idx=A000000000134802
朝鮮語コミュニケーション中級4,水5,A4,-----,CHOI JUNGAH,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52767&je_cd=1&lct_idx=A000000000134803
国際英語コミュニケーションB2,木3,C14,9,西嶋　愉一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52828&je_cd=1&lct_idx=A000000000134807
スペイン語コミュニケーションⅠB2,木5,C5,-----,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52940&je_cd=1&lct_idx=A000000000134832
スペイン語コミュニケーションⅡB2,火5,C3,-----,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52942&je_cd=1&lct_idx=A000000000134833
スペイン語コミュニケーションⅢB2,火4,C3,20名,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52951&je_cd=1&lct_idx=A000000000134839
フランス語コミュニケーションⅠB2,水4,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52955.002&je_cd=1&lct_idx=A000000000134841
フランス語コミュニケーションⅡB2,月5,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52957&je_cd=1&lct_idx=A000000000134843
フランス語コミュニケーションⅢB2,水2,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52959&je_cd=1&lct_idx=A000000000134844
フランス語コミュニケーションⅣB2,月2,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52961.002&je_cd=1&lct_idx=A000000000134846
ロシア語コミュニケーションⅡA2,木1,D3,-----,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52964&je_cd=1&lct_idx=A000000000134847
ロシア語コミュニケーションⅡB2,木2,D3,-----,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52965&je_cd=1&lct_idx=A000000000134848
ロシア語コミュニケーションⅣ2,木5,D3,-----,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52967&je_cd=1&lct_idx=A000000000134849
フランス語コミュニケーション初級4,水4,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52994.002&je_cd=1&lct_idx=A000000000134861
フランス語コミュニケーション初級8,月5,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-52998&je_cd=1&lct_idx=A000000000134863
フランス語コミュニケーション中級4,水2,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-53002&je_cd=1&lct_idx=A000000000134864
フランス語コミュニケーション中級8,月2,D3,-----,MENOU LOIC HENRI PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-53006.002&je_cd=1&lct_idx=A000000000134866
スペイン語コミュニケーション初級4,木5,C5,-----,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-53010&je_cd=1&lct_idx=A000000000134867
スペイン語コミュニケーション初級8,火5,C3,-----,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-53014&je_cd=1&lct_idx=A000000000134868
スペイン語コミュニケーション中級4,火4,C3,20名,雄谷　ソニア　啓子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-53018&je_cd=1&lct_idx=A000000000134869
ロシア語コミュニケーション初級6,木1,D3,-----,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-53029&je_cd=1&lct_idx=A000000000134871
ロシア語コミュニケーション初級8,木2,D3,-----,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-53031&je_cd=1&lct_idx=A000000000134872
ロシア語コミュニケーション中級4,木5,D3,-----,BONDARENKO OXANA,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=51-53035&je_cd=1&lct_idx=A000000000134873
未来型健康増進学,月3,D2,20人,唐島　成宙,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=52-10160&je_cd=1&lct_idx=A000000000151047
「生命」の科学と哲学,水3,B2,12人,垣内　康孝,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=52-10164&je_cd=1&lct_idx=A000000000125737
論理学と数学の基礎2：述語論理入門,木4,D2,-----,黒川　英徳,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=52-10182&je_cd=1&lct_idx=A000000000125739
国際政治理論から世界をみる,水2,C2,30人,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=52-10185&je_cd=1&lct_idx=A000000000125741
分子磁性入門,金2,B2,20人,三橋　了爾,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=52-10189&je_cd=1&lct_idx=A000000000125745
物理的思考と数学的アート,火2,D9,20人,藤間　崇,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=52-10191.02&je_cd=1&lct_idx=A000000000151050
観光政策論Ⅱ,木5,D2,-----,岡　達哉,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=52-44121&je_cd=1&lct_idx=A000000000127426
地域経営論Ⅱ,火4,E10,最大85人まで,川澄　厚志,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=52-44123&je_cd=1&lct_idx=A000000000127428
未来型健康増進学,月3,D2,20人,唐島　成宙,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=53-10109&je_cd=1&lct_idx=A000000000151052
「生命」の科学と哲学,水3,B2,12人,垣内　康孝,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=53-10113&je_cd=1&lct_idx=A000000000151053
論理学と数学の基礎2：述語論理入門,木4,D2,-----,黒川　英徳,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=53-10131&je_cd=1&lct_idx=A000000000151055
国際政治理論から世界をみる,水2,C2,30人,佐々木　葉月,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=53-10134&je_cd=1&lct_idx=A000000000151057
分子磁性入門,金2,B2,20人,三橋　了爾,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=53-10138&je_cd=1&lct_idx=A000000000151062
物理的思考と数学的アート,火2,D9,20人,藤間　崇,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=53-10140.02&je_cd=1&lct_idx=A000000000151064
日本語　初級1B,"月1,火1,水1,金1",A3,-----,"山中　里紗, 深川　美帆",https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01106.22&je_cd=1&lct_idx=A000000000129569
日本語　初級2B,"月1,火1,水1,金1",A4,-----,苗田　敏美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01203.22&je_cd=1&lct_idx=A000000000129573
日本語　中級1B,火1,B6,,"深川　美帆, 山中　里紗",https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01306.22&je_cd=1&lct_idx=A000000000129577
日本語　中級1B,"水2,金2",A3,,"深川　美帆, 山中　里紗",https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01306.22&je_cd=1&lct_idx=A000000000129577
日本語　中級2B,火2,D5,20名を上限とします。 初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,"深川　美帆, 山中　里紗",https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01415.22&je_cd=1&lct_idx=A000000000129581
日本語　中級2B,水2,D8,20名を上限とします。 初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,"深川　美帆, 山中　里紗",https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01415.22&je_cd=1&lct_idx=A000000000129581
日本語　中級2B,金2,A4,20名を上限とします。 初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,"深川　美帆, 山中　里紗",https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01415.22&je_cd=1&lct_idx=A000000000129581
日本語　中上級B,火2,A2,-----,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01427.22&je_cd=1&lct_idx=A000000000129585
日本語　中上級B,"水2,金1",C7,-----,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01427.22&je_cd=1&lct_idx=A000000000129585
日本語　上級B,火2,D3,20名を上限とします。 初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01503.22&je_cd=1&lct_idx=A000000000129589
日本語　上級B,水2,D1,20名を上限とします。 初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01503.22&je_cd=1&lct_idx=A000000000129589
日本語　上級B,金2,C4,20名を上限とします。 初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-01503.22&je_cd=1&lct_idx=A000000000129589
日本語  漢字・語彙1B,木2,A3,-----,"山中　里紗, 深川　美帆",https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-02122.22&je_cd=1&lct_idx=A000000000129593
日本語  漢字・語彙2B,木2,B2,-----,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-02222.22&je_cd=1&lct_idx=A000000000129597
日本語  漢字・語彙3B,木1,A3,-----,"山中　里紗, 深川　美帆",https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-02322.22&je_cd=1&lct_idx=A000000000129601
日本語  漢字・語彙4B,木1,A2,30名を上限とします。初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-02422.22&je_cd=1&lct_idx=A000000000129605
日本語  漢字・語彙5B,木2,A2,"20名を上限とします。初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。""",深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-02522.22&je_cd=1&lct_idx=A000000000129609
日本語  漢字・語彙6B,木2,D1,"20名を上限とします。初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。""","深川　美帆, 川島　ゆえ",https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-02622.22&je_cd=1&lct_idx=A000000000129613
日本語  漢字・語彙7B,木2,C14,20名を上限とします。初回の授業で、履修希望者が上限の人数に達した場合、それ以降は、たとえ履修登録期間中であっても、このコースの履修登録はできません。,深川　美帆,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-02722.22&je_cd=1&lct_idx=A000000000129617
日本語  上級読解ⅡB,金1,B2,15,小島　莊一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03167.22&je_cd=1&lct_idx=A000000000129619
日本語  速読B,月1,B6,20名以内,太田　亨,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=46-03174.22&je_cd=1&lct_idx=A000000000129625
