科目名,曜日・時限,講義室情報,適正人数,担当教員,URL
価値と情動の認知科学,月1,B1,99人,松井　三枝,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73C00a.411&je_cd=1&lct_idx=A000000000137627
価値と情動の認知科学,火3,D4,60人,西川　未来汰,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73C00a.423&je_cd=1&lct_idx=A000000000137628
価値と情動の認知科学（英語クラス）,水1,D2,10人,松井　三枝,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73C00a.431&je_cd=1&lct_idx=A000000000137629
価値と情動の認知科学,木3,B1,99人,堀田　優子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73C00a.443&je_cd=1&lct_idx=A000000000137630
スポーツ科学 健康教育入門Ⅱ,金5,B3,50人,岩田　英樹,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73F0ba.455&je_cd=1&lct_idx=A000000000137648
スポーツ科学 メンタルトレーニングⅠ,火4,B10,80人,村山　孝之,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73F0ga.424&je_cd=1&lct_idx=A000000000137650
スポーツ科学 身体運動の神経制御Ⅱ,水4,C10,75人,木村　岳裕,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73F0n.434&je_cd=1&lct_idx=A000000000137658
スポーツ科学 スポーツ生理学入門 II,水3,B1,80人,芝口　翼,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73F0qa.433&je_cd=1&lct_idx=A000000000137661
スポーツ科学 スポーツ栄養学,月3,B10,75人,野中　雄大,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=73F0ra.413&je_cd=1&lct_idx=A000000000137663
TOEIC準備 Ⅳ,火1,B7,30人,橋本　将,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.101&je_cd=1&lct_idx=A000000000143325
TOEIC準備 Ⅳ,火1,D7,30人,小熊　猛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.102&je_cd=1&lct_idx=A000000000143326
TOEIC準備 Ⅳ,火1,C8,30人,西村　周浩,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.103&je_cd=1&lct_idx=A000000000143331
TOEIC準備 Ⅳ,火1,C9,30人,唐堂　由其,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.131&je_cd=1&lct_idx=A000000000143327
TOEIC準備 Ⅳ,火1,D6,30人,堀田　優子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.132&je_cd=1&lct_idx=A000000000143328
TOEIC準備 Ⅳ,火1,D8,30人,岡本　芳和,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.133&je_cd=1&lct_idx=A000000000143329
TOEIC準備 Ⅳ,火1,B9,30人,數見　由紀子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.134&je_cd=1&lct_idx=A000000000143330
TOEIC準備 Ⅳ,火1,D9,30人,西嶋　愉一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.136&je_cd=1&lct_idx=A000000000143332
TOEIC準備 Ⅳ,火1,B5,30人,HAMMOND MARK,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.171&je_cd=1&lct_idx=A000000000143333
TOEIC準備 Ⅳ,火1,C6,30人,RAKER VINCENT ERIC,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.172&je_cd=1&lct_idx=A000000000143334
TOEIC準備 Ⅳ,火1,C4,30人,OGINI ABADA EMEKA HECTOR,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.173&je_cd=1&lct_idx=A000000000143335
TOEIC準備 Ⅳ,火1,C7,30人,細川　真由,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.174&je_cd=1&lct_idx=A000000000143336
TOEIC準備 Ⅳ,木1,C8,30人,橋本　将,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.201&je_cd=1&lct_idx=A000000000143337
TOEIC準備 Ⅳ,木1,C4,30人,數見　由紀子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.202&je_cd=1&lct_idx=A000000000143338
TOEIC準備 Ⅳ,木1,D9,30人,西嶋　愉一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.203&je_cd=1&lct_idx=A000000000143339
TOEIC準備 Ⅳ,木1,B9,30人,小原　文衛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.231&je_cd=1&lct_idx=A000000000143340
TOEIC準備 Ⅳ,木1,C9,30人,角目　しのぶ,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.232&je_cd=1&lct_idx=A000000000143341
TOEIC準備 Ⅳ,木1,C7,30人,屈　莉,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.233&je_cd=1&lct_idx=A000000000143342
TOEIC準備 Ⅳ,木1,D8,30人,佐藤　福子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.234&je_cd=1&lct_idx=A000000000143343
TOEIC準備 Ⅳ,木1,B6,30人,BUTLER TANAKA PAUL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.271&je_cd=1&lct_idx=A000000000143344
TOEIC準備 Ⅳ,木1,B7,30人,CURRY CARLA JANE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.272&je_cd=1&lct_idx=A000000000143345
TOEIC準備 Ⅳ,木1,B8,30人,RIVKIN MICHAEL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.273&je_cd=1&lct_idx=A000000000143346
TOEIC準備 Ⅳ,木1,B5,30人,HAMMOND MARK,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.274&je_cd=1&lct_idx=A000000000143347
TOEIC準備 Ⅳ,木1,C6,30人,RAKER VINCENT ERIC,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.275&je_cd=1&lct_idx=A000000000143348
TOEIC準備 Ⅳ,水2,C3,30人,澤田　茂保,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.301&je_cd=1&lct_idx=A000000000143349
TOEIC準備 Ⅳ,水2,C8,30人,數見　由紀子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.302&je_cd=1&lct_idx=A000000000143350
TOEIC準備 Ⅳ,水2,B5,30人,冨田　尚,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.331&je_cd=1&lct_idx=A000000000143351
TOEIC準備 Ⅳ,水2,C4,30人,正木 恵美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.332&je_cd=1&lct_idx=A000000000143352
TOEIC準備 Ⅳ,水2,D7,30人,小熊　猛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.333&je_cd=1&lct_idx=A000000000143353
TOEIC準備 Ⅳ,水2,D9,30人,西嶋　愉一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.334&je_cd=1&lct_idx=A000000000143354
TOEIC準備 Ⅳ,水2,B9,30人,半井　典子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.335&je_cd=1&lct_idx=A000000000143355
TOEIC準備 Ⅳ,水2,C6,30人,ダガン　さがの,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.336&je_cd=1&lct_idx=A000000000143356
TOEIC準備 Ⅳ,水2,B6,30人,CURRY CARLA JANE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.371&je_cd=1&lct_idx=A000000000143357
TOEIC準備 Ⅳ,水2,B8,30人,RIVKIN MICHAEL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.372&je_cd=1&lct_idx=A000000000143358
TOEIC準備 Ⅳ,水2,B7,30人,茶谷　丹午,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.373&je_cd=1&lct_idx=A000000000143359
TOEIC準備 Ⅳ,水1,C3,30人,澤田　茂保,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.402&je_cd=1&lct_idx=A000000000143361
TOEIC準備 Ⅳ,水1,D7,30人,小熊　猛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.403&je_cd=1&lct_idx=A000000000143362
TOEIC準備 Ⅳ,水1,B5,30人,冨田　尚,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.431&je_cd=1&lct_idx=A000000000143363
TOEIC準備 Ⅳ,水1,C4,30人,正木 恵美,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.432&je_cd=1&lct_idx=A000000000143364
TOEIC準備 Ⅳ,水1,B7,30人,滝沢　雄一,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.433&je_cd=1&lct_idx=A000000000143365
TOEIC準備 Ⅳ,水1,B9,30人,半井　典子,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.434&je_cd=1&lct_idx=A000000000143366
TOEIC準備 Ⅳ,水1,C9,30人,前田　昌寛,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.435&je_cd=1&lct_idx=A000000000143367
TOEIC準備 Ⅳ,水1,C6,30人,橋本　将,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.436&je_cd=1&lct_idx=A000000000143368
TOEIC準備 Ⅳ,水1,C8,30人,茶谷　丹午,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.437&je_cd=1&lct_idx=A000000000143360
TOEIC準備 Ⅳ,水1,B6,30人,CURRY CARLA JANE,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.471&je_cd=1&lct_idx=A000000000143369
TOEIC準備 Ⅳ,水1,B8,30人,RIVKIN MICHAEL,https://eduweb.sta.kanazawa-u.ac.jp/Portal/Public/Syllabus/DetailMain.aspx?lct_year=2023&lct_cd=74124.472&je_cd=1&lct_idx=A000000000143370
